amount,bonus_type,ssn
3500,Signing,111-11-1111
4500,Holiday,222-22-2222
4500,Holiday,333-33-3333
3500,Holiday,444-44-4444
4500,Signing,555-55-5555
2500,Holiday,666-66-6666
3500,Holiday,777-77-7777
1000,Signing,888-88-8888
4000,Holiday,999-99-9999
4000,Signing,000-00-0000
3000,Signing,123-45-6789
4000,Holiday,234-56-7890
3500,Holiday,345-67-8901
3000,Signing,456-78-9012
3000,Holiday,567-89-0123
4000,Signing,678-90-1234
4500,Holiday,789-01-2345
2000,Holiday,890-12-3456
2500,Signing,901-23-4567
4000,Holiday,012-34-5678
