ssn,sponsorship_status,immigration_type
111-11-1111,Unsponsored,Citizen
222-22-2222,Unsponsored,Citizen
333-33-3333,Unsponsored,Citizen
444-44-4444,Sponsored,H1-B
555-55-5555,Unsponsored,Citizen
666-66-6666,Unsponsored,Citizen
777-77-7777,Unsponsored,Citizen
888-88-8888,Unsponsored,Citizen
999-99-9999,Unsponsored,Citizen
000-00-0000,Unsponsored,Citizen
123-45-6789,Unsponsored,Citizen
234-56-7890,Unsponsored,Citizen
345-67-8901,Sponsored,O-1
456-78-9012,Unsponsored,Citizen
567-89-0123,Unsponsored,Citizen
678-90-1234,Sponsored,J-1
789-01-2345,Unsponsored,Citizen
890-12-3456,Sponsored,J-1
901-23-4567,Unsponsored,Citizen
012-34-5678,Unsponsored,Citizen
