id,pay_date,base_pay,number_regular_hours,number_overtime_hours,tax_id,federal_percent,state_percent,ssn
1,2022-01-01,35,80,25,1,0.1,0.04,111-11-1111
2,2022-01-15,35,80,30,1,0.1,0.04,111-11-1111
3,2022-01-29,35,80,10,1,0.1,0.04,111-11-1111
4,2022-02-12,35,80,15,1,0.1,0.04,111-11-1111
5,2022-02-26,35,80,30,1,0.1,0.04,111-11-1111
6,2022-03-12,35,80,20,1,0.1,0.04,111-11-1111
7,2022-03-26,35,80,35,1,0.1,0.04,111-11-1111
8,2022-04-09,35,80,25,1,0.1,0.04,111-11-1111
9,2022-04-23,35,80,5,1,0.1,0.04,111-11-1111
10,2022-05-07,35,80,25,1,0.1,0.04,111-11-1111
11,2022-05-21,35,80,10,1,0.1,0.04,111-11-1111
12,2022-06-04,35,80,40,1,0.1,0.04,111-11-1111
13,2022-06-18,35,80,5,1,0.1,0.04,111-11-1111
14,2022-07-02,35,80,25,1,0.1,0.04,111-11-1111
15,2022-07-16,35,80,30,1,0.1,0.04,111-11-1111
16,2022-07-30,35,80,20,1,0.1,0.04,111-11-1111
17,2022-08-13,35,80,10,1,0.1,0.04,111-11-1111
18,2022-08-27,35,80,40,1,0.1,0.04,111-11-1111
19,2022-09-10,35,80,35,1,0.1,0.04,111-11-1111
20,2022-09-24,35,80,35,1,0.1,0.04,111-11-1111
21,2022-10-08,35,80,40,1,0.1,0.04,111-11-1111
22,2022-10-22,35,80,25,1,0.1,0.04,111-11-1111
23,2022-11-05,35,80,25,1,0.1,0.04,111-11-1111
24,2022-11-19,35,80,25,1,0.1,0.04,111-11-1111
25,2022-01-01,55,80,35,2,0.12,0.045,222-22-2222
26,2022-01-15,55,80,35,2,0.12,0.045,222-22-2222
27,2022-01-29,55,80,5,2,0.12,0.045,222-22-2222
28,2022-02-12,55,80,25,2,0.12,0.045,222-22-2222
29,2022-02-26,55,80,40,2,0.12,0.045,222-22-2222
30,2022-03-12,55,80,25,2,0.12,0.045,222-22-2222
31,2022-03-26,55,80,5,2,0.12,0.045,222-22-2222
32,2022-04-09,55,80,35,2,0.12,0.045,222-22-2222
33,2022-04-23,55,80,20,2,0.12,0.045,222-22-2222
34,2022-05-07,55,80,40,2,0.12,0.045,222-22-2222
35,2022-05-21,55,80,35,2,0.12,0.045,222-22-2222
36,2022-06-04,55,80,40,2,0.12,0.045,222-22-2222
37,2022-06-18,55,80,35,2,0.12,0.045,222-22-2222
38,2022-07-02,55,80,30,2,0.12,0.045,222-22-2222
39,2022-07-16,55,80,35,2,0.12,0.045,222-22-2222
40,2022-07-30,55,80,10,2,0.12,0.045,222-22-2222
41,2022-08-13,55,80,30,2,0.12,0.045,222-22-2222
42,2022-08-27,55,80,15,2,0.12,0.045,222-22-2222
43,2022-09-10,55,80,15,2,0.12,0.045,222-22-2222
44,2022-09-24,55,80,25,2,0.12,0.045,222-22-2222
45,2022-10-08,55,80,40,2,0.12,0.045,222-22-2222
46,2022-10-22,55,80,40,2,0.12,0.045,222-22-2222
47,2022-11-05,55,80,35,2,0.12,0.045,222-22-2222
48,2022-11-19,55,80,20,2,0.12,0.045,222-22-2222
49,2022-01-01,35,80,40,3,0.22,0.06,333-33-3333
50,2022-01-15,35,80,5,3,0.22,0.06,333-33-3333
51,2022-01-29,35,80,30,3,0.22,0.06,333-33-3333
52,2022-02-12,35,80,25,3,0.22,0.06,333-33-3333
53,2022-02-26,35,80,10,3,0.22,0.06,333-33-3333
54,2022-03-12,35,80,10,3,0.22,0.06,333-33-3333
55,2022-03-26,35,80,10,3,0.22,0.06,333-33-3333
56,2022-04-09,35,80,15,3,0.22,0.06,333-33-3333
57,2022-04-23,35,80,25,3,0.22,0.06,333-33-3333
58,2022-05-07,35,80,25,3,0.22,0.06,333-33-3333
59,2022-05-21,35,80,15,3,0.22,0.06,333-33-3333
60,2022-06-04,35,80,30,3,0.22,0.06,333-33-3333
61,2022-06-18,35,80,20,3,0.22,0.06,333-33-3333
62,2022-07-02,35,80,10,3,0.22,0.06,333-33-3333
63,2022-07-16,35,80,5,3,0.22,0.06,333-33-3333
